"sn","bi2","n_tested","n_positive","positivity","lon","lat"
20992,"1. Agugu",3,1,0.333333333333333,3.93819046020508,7.37242889404297
20993,"1. Agugu",3,0,0,3.93818521499634,7.37245225906372
20994,"1. Agugu",3,2,0.666666666666667,3.93820071220398,7.37336921691895
20995,"1. Agugu",2,0,0,3.93809723854065,7.37365818023682
20996,"1. Agugu",1,0,0,3.93851447105408,7.3735933303833
20997,"1. Agugu",1,0,0,3.93865776062012,7.37361574172974
20998,"1. Agugu",2,0,0,3.93851804733276,7.37351989746094
20999,"1. Agugu",3,2,0.666666666666667,3.93757081031799,7.37359571456909
21000,"1. Agugu",4,0,0,3.93877243995667,7.37361001968384
21001,"1. Agugu",3,0,0,3.93636608123779,7.38083124160767
21002,"1. Agugu",1,0,0,3.93868708610535,7.37369203567505
21003,"1. Agugu",1,0,0,3.9354350566864,7.38168430328369
21004,"1. Agugu",1,0,0,3.93894553184509,7.37406826019287
21005,"1. Agugu",2,0,0,3.93850040435791,7.37443208694458
21006,"1. Agugu",3,1,0.333333333333333,3.93866181373596,7.37422323226929
21007,"1. Agugu",2,0,0,3.93858003616333,7.3740668296814
21008,"1. Agugu",1,0,0,3.93853092193604,7.37398481369019
21009,"1. Agugu",1,0,0,3.93856906890869,7.37416315078735
21010,"1. Agugu",1,0,0,3.93778371810913,7.37390470504761
21011,"1. Agugu",1,0,0,3.93782591819763,7.37386703491211
21012,"1. Agugu",1,0,0,3.93798494338989,7.37364673614502
21013,"1. Agugu",5,4,0.8,3.93761706352234,7.37358713150024
21014,"1. Agugu",2,1,0.5,3.9375376701355,7.37363243103027
21015,"1. Agugu",2,0,0,3.93761801719666,7.37365818023682
21016,"1. Agugu",1,0,0,3.93765997886658,7.37362861633301
21017,"1. Agugu",1,0,0,3.93190598487854,7.38254165649414
21018,"1. Agugu",2,0,0,3.93199801445007,7.38394498825073
21019,"1. Agugu",1,0,0,3.93117523193359,7.38403224945068
21020,"1. Agugu",5,1,0.2,3.93303394317627,7.38463449478149
21021,"1. Agugu",1,0,0,3.9338173866272,7.38528108596802
21022,"1. Agugu",3,0,0,3.93303823471069,7.38466787338257
21024,"1. Agugu",1,0,0,3.9278085231781,7.37954759597778
21025,"1. Agugu",1,0,0,3.9323890209198,7.38417768478394
21026,"1. Agugu",2,0,0,3.9338173866272,7.383544921875
21027,"1. Agugu",5,0,0,3.93413591384888,7.38363313674927
21028,"1. Agugu",1,0,0,3.93445444107056,7.38489246368408
21029,"1. Agugu",3,0,0,3.93222451210022,7.37918186187744
21030,"1. Agugu",2,0,0,3.93222451210022,7.37918186187744
21031,"1. Agugu",3,0,0,3.93209791183472,7.38355302810669
21032,"1. Agugu",1,0,0,3.92845988273621,7.38020610809326
21033,"1. Agugu",1,0,0,3.9338173866272,7.38388681411743
21034,"1. Agugu",1,0,0,3.93126130104065,7.38439273834229
21035,"1. Agugu",1,0,0,3.93141889572144,7.38437509536743
21036,"1. Agugu",1,0,0,3.9313690662384,7.38428211212158
21037,"1. Agugu",1,0,0,3.93137788772583,7.38429117202759
21038,"1. Agugu",1,0,0,3.93413591384888,7.38152456283569
21039,"1. Agugu",1,0,0,3.93158745765686,7.38155460357666
21040,"1. Agugu",1,0,0,3.93229651451111,7.3840184211731
21041,"1. Agugu",3,0,0,3.93318009376526,7.38187026977539
21042,"1. Agugu",1,0,0,3.93244385719299,7.38423299789429
21043,"1. Agugu",1,0,0,3.9338173866272,7.38389158248901
21045,"1. Agugu",1,0,0,3.93042945861816,7.38626527786255
21046,"1. Agugu",5,0,0,3.9329559803009,7.38372611999512
21047,"1. Agugu",1,0,0,3.9329559803009,7.38372611999512
21048,"1. Agugu",1,0,0,3.93255805969238,7.38370990753174
21049,"1. Agugu",1,0,0,3.9325430393219,7.38457250595093
21050,"1. Agugu",3,0,0,3.93286180496216,7.38370513916016
21051,"1. Agugu",1,0,0,3.93236088752747,7.38405609130859
21052,"1. Agugu",4,0,0,3.93349885940552,7.38490104675293
21053,"1. Agugu",4,0,0,3.93214011192322,7.38406085968018
21054,"1. Agugu",1,0,0,3.93349885940552,7.38490104675293
21055,"1. Agugu",1,0,0,3.93190455436707,7.38252401351929
21056,"1. Agugu",1,0,0,3.93211984634399,7.382568359375
21057,"1. Agugu",2,0,0,3.93499445915222,7.38235807418823
21058,"1. Agugu",1,0,0,3.93218302726746,7.38291501998901
